iso_week,boxes,active1,active2,active3,active4,Forecast,,,,,,
2018-W01,27472,29186,36574,50426,59216,,,,,,,
2018-W02,47833,47473,51289,57239,64960,,,,,,,
2018-W03,50578,51155,56498,60688,65440,,,,,,,
2018-W04,49219,52072,60069,64690,65893,,,,,,,
2018-W05,49659,52598,59836,66904,68477,,,,,,,
2018-W06,51541,54264,62459,69819,74544,,,,,,,
2018-W07,45220,48854,58831,68512,75803,,,,,,,
2018-W08,47827,50974,60336,68430,75645,,,,,,,
2018-W09,46897,49982,58871,67901,75026,,,,,,,
2018-W10,49870,52693,62369,71263,77903,,,,,,,
2018-W11,47176,49949,59490,69006,76830,,,,,,,
2018-W12,45996,49145,58542,68077,76207,,,,,,,
2018-W13,43959,48162,57434,66207,74497,,,,,,,
2018-W14,34337,38336,55772,67006,75609,,,,,,,
2018-W15,40569,44794,54088,67225,76364,,,,,,,
2018-W16,46431,49062,59362,67974,76721,,,,,,,
2018-W17,46261,49377,56613,66623,73653,,,,,,,
2018-W18,46493,50241,59795,66533,74184,,,,,,,
2018-W19,46241,49517,60953,70593,76039,,,,,,,
2018-W20,44668,48426,58105,69221,77710,,,,,,,
2018-W21,45031,48458,58104,66998,76223,,,,,,,
2018-W22,37553,41043,53668,65103,73634,,,,,,,
2018-W23,44028,50698,57750,68416,76559,,,,,,,
2018-W24,43986,47520,59797,67154,76337,,,,,,,
2018-W25,43618,47188,56781,69198,74578,,,,,,,
2018-W26,42244,45706,55337,64922,74570,,,,,,,
2018-W27,42290,46403,57124,66957,74309,,,,,,,
2018-W28,40620,44201,55171,65998,73749,,,,,,,
2018-W29,38282,41537,52419,63272,72697,,,,,,,
2018-W30,37064,39652,49341,60232,69699,,,,,,,
2018-W31,34800,38089,47284,57919,67687,,,,,,,
2018-W32,35311,38708,48685,58718,67759,,,,,,,
2018-W33,35771,38574,48184,57740,66140,,,,,,,
2018-W34,35890,37823,46281,56202,64596,,,,,,,
2018-W35,34172,36507,45772,54734,63443,,,,,,,
2018-W36,42398,45534,51608,60023,66759,,,,,,,
2018-W37,46231,46260,53428,59922,67583,,,,,,,
2018-W38,48982,50445,53177,61081,67012,,,,,,,
2018-W39,50725,52251,58269,60997,67460,,,,,,,
2018-W40,54023,57182,64208,69524,70269,,,,,,,
2018-W41,52964,56462,66756,73495,77696,,,,,,,
2018-W42,50198,52634,64004,74445,80368,,,,,,,
2018-W43,44548,48287,59357,71582,81554,,,,,,,
2018-W44,46582,49993,60212,69957,80026,,,,,,,
2018-W45,51908,53608,63665,73121,81103,,,,,,,
2018-W46,51114,54650,63095,72742,79814,,,,,,,
2018-W47,47940,51003,61848,70144,78134,,,,,,,
2018-W48,46172,49699,59141,69675,76773,,,,,,,
2018-W49,48554,52246,61674,70971,80399,,,,,,,
2018-W50,43733,48068,59610,69012,77471,,,,,,,
2018-W51,37807,40579,52183,64378,73769,,,,,,,
2018-W52,13699,16994,32009,49892,66321,,,,,,,
2019-W01,,28812,38029,50721,64018,24747,,,,,,
2019-W02,,46703,52656,60514,69723,42297,,,,,,
2019-W03,,59574,56918,62656,69521,54343,,,,,,
2019-W04,,61357,65534,64095,68524,58107,,,,,,
2019-W05,,60664,68174,72508,69601,58081,,,,,,
2019-W06,,63880,73888,81029,84266,60358,,,,,,
2019-W07,,62206,73619,83854,88018,58466,,,,,,
2019-W08,,57336,69008,80615,88584,53231,,,,,,
2019-W09,,58684,69267,78892,88014,54455,,,,,,
2019-W10,,62023,73277,82954,90700,57877,,,,,,
2019-W11,,60998,72101,82150,90152,56805,,,,,,
2019-W12,,62515,70967,81040,89038,57851,,,,,,
